Name,Country,Price,Days_30_Availability,Days_60_Availability,Days_90_Availability,Days_365_Availability
Bungan Beach House,Australia,2356,28,58,88,363
Luxurious oasis and family home in North Bondi,Australia,2000,23,53,83,84
Spacious 5 bedroom house - PERFECT LOCATION,Australia,1500,0,0,0,0
LUXICO - Vaucluse Manor,Australia,1321,0,18,48,137
Whale Beach Sensation,Australia,1200,30,56,86,361
LUXICO - Principino,Australia,1105,0,0,0,192
Curl Curl Getaway | Pool & Spacious 4 BR House,Australia,1100,0,0,4,185
Modern luxury Beach House,Australia,999,0,0,0,0
Views to die for & use VW Golf GTi for Free,Australia,999,0,0,0,0
"Bronte Home, Fabulous Location",Australia,999,23,53,83,84
