Name,Country,Price,Cleaning_Fee,Room_Type,No_Of_BedRooms
One bedroom Bronte Beach,Australia,550.0,350,Entire home/apt,1.0
"Entertainers Delight, Heart of Crows Nest ALEX2",Australia,200.0,330,Entire home/apt,2.0
OVERLOOKING BEACH 2 BED WIFI PARKING,Australia,343.0,320,Entire home/apt,2.0
Sunny Apartment right on the beach in North Bondi,Australia,129.0,300,Entire home/apt,2.0
Take a Coastal Walk from a Stylish Flat,Australia,419.0,300,Entire home/apt,2.0
Palm Beach Penthouse by Contemporary Hotels,Australia,850.0,300,Entire home/apt,2.0
"CL405-Great Apartment, Everything on its Door Step",Australia,200.0,275,Entire home/apt,2.0
Bondi Garden Bungalow,Australia,264.0,250,Entire home/apt,2.0
Beach living in Dee Why,Australia,151.0,240,Entire home/apt,2.0
10 min CBD Taste Vill Life Leichhardt/Haberfield,Australia,350.0,225,Entire home/apt,2.0
